StockCode,Description,quantity,revenue
10080,check,22,0
10080,GROOVY CACTUS INFLATABLE,121,47.19
10120,DOGGY RUBBER,72,15.120000000000001
10124A,SPOTS ON RED BOOKCOVER TAPE,4,1.68
10124G,ARMY CAMO BOOKCOVER TAPE,8,3.36
10125,MINI FUNKY DESIGN TAPES,329,280.43
10135,COLOURING PENCILS BROWN TUBE,370,499.99
11001,ASSTD DESIGN RACING CAR PEN,314,589.86
15030,FAN BLACK FRAME,37,10.729999999999999
15034,PAPER POCKET TRAVELING FAN,2616,301.56000000000006
15036,ASSORTED COLOURS SILK FAN,2115,1787.85
15039,SANDALWOOD FAN,401,508.15
15044A,PINK PAPER PARASOL,69,214.91000000000003
15044B,BLUE PAPER PARASOL,6,17.700000000000003
15044C,PURPLE PAPER PARASOL,48,144.44000000000003
15044D,RED PAPER PARASOL,197,526.39
15056bl,EDWARDIAN PARASOL BLACK,23,286.58000000000004
15056BL,EDWARDIAN PARASOL BLACK,977,5373.05
15056n,EDWARDIAN PARASOL NATURAL,22,274.12
15056N,EDWARDIAN PARASOL NATURAL,789,4582.320000000001
15056p,EDWARDIAN PARASOL PINK,4,49.84
15056P,EDWARDIAN PARASOL PINK,194,1098.8300000000002
15058A,BLUE POLKADOT GARDEN PARASOL,9,82.91
15058B,PINK POLKADOT GARDEN PARASOL,3,26.689999999999998
15058C,ICE CREAM DESIGN GARDEN PARASOL,5,51.11
15060b,FAIRY CAKE DESIGN UMBRELLA,3,24.869999999999997
15060B,FAIRY CAKE DESIGN UMBRELLA,100,383.3
16008,SMALL FOLDING SCISSOR(POINTED EDGE),1815,217.79999999999998
16011,ANIMAL STICKERS,527,110.67
16012,FOOD/DRINK SPONGE STICKERS,217,45.57
16014,SMALL CHINESE STYLE SCISSOR,3757,1227.94
16015,MEDIUM CHINESE STYLE SCISSOR,50,25
16016,LARGE CHINESE STYLE SCISSOR,280,238
16045,POPART WOODEN PENCILS ASST,3900,156
16046,TEATIME PEN CASE & PENS,5,4.25
16048,TEATIME ROUND PENCIL SHARPENER,412,54.41
